POA&M Item ID,Control Vulnerability Description,Controls / APs,Security Checks,POA&M Status,POA&M Scheduled Completion Date,POA&M Requested Risk Accepted Expiration Date,POA&M Completion Date,Milestone ID,Milestone Description,Milestone Status,Milestone Status Comments,Milestone Scheduled Completion Date,Milestone Completion Date,Identification Source,Identification Source Details,Office/Org,Resources Required,Comments,Raw Severity,Devices Affected,Mitigations (in-house and in conjunction with the Navy CSSP),Predisposing Conditions,Severity,Relevance of Threat,Threat Description,Likelihood,Impact,Impact Description,Residual Risk Level,Recommendations,Resulting Residual Risk after Proposed Mitigations
,Microsoft Defender AV must control whether exclusions are visible to Local Admins.,SC-18(4),V-278658,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must randomize scheduled task times.,SI-3,V-278659,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must hide the Family options area.,SC-18(4),V-278660,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must enable the file hash computation feature.,SC-18(4),V-278661,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must enable extended cloud check.,SC-18(4),V-278662,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must enable script scanning.,SI-3,V-278668,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must enable real-time protection and Security Intelligence Updates during OOBE.,SI-3,V-278669,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must enable network protection to be configured into block or audit mode on Windows Server.,SC-18(4),V-278672,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must enable EDR in block mode.,SC-18(4),V-278674,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must report Dynamic Signature dropped events.,SC-18(4),V-278675,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must scan excluded files and directories during quick scans.,SI-3,V-278676,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must convert warn verdict to block.,SC-18(4),V-278677,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must enable asynchronous inspection.,SC-18(4),V-278678,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must scan packed executables.,SI-3,V-278679,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must enable heuristics.,SI-3,V-278680,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must set cloud protection level to High.,SC-18(4),V-278863,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Developer certificates used with the .NET Publisher Membership Condition must be approved by the ISSO.,IA-5(2),V-225225,Ongoing,,,,,,,,,,Microsoft DotNet Framework 4.0 Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,CAS and policy configuration files must be backed up.,AU-9,V-225227,Ongoing,,,,,,,,,,Microsoft DotNet Framework 4.0 Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,.NET must be configured to validate strong names on full-trust assemblies.,IA-5(2),V-225231,Ongoing,,,,,,,,,,Microsoft DotNet Framework 4.0 Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Software utilizing .Net 4.0 must be identified and relevant access controls configured.,SC-39,V-225236,Ongoing,,,,,,,,,,Microsoft DotNet Framework 4.0 Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Update and configure the .NET Framework to support TLS.,CM-7(1),V-225238,Ongoing,,,,,,,,,,Microsoft DotNet Framework 4.0 Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Visual Search must be disabled.,CM-7,V-260465,Ongoing,,,,,,,,,,Microsoft Edge Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Copilot must be disabled.,CM-7,V-260466,Ongoing,,,,,,,,,,Microsoft Edge Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Session only-based cookies must be enabled.,AU-10,V-260467,Ongoing,,,,,,,,,,Microsoft Edge Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,FriendlyURLs must be disabled.,CM-7,V-266981,Ongoing,,,,,,,,,,Microsoft Edge Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Access to Microsoft 365 Copilot writing assistance must be disabled.,CM-7,V-279940,Ongoing,,,,,,,,,,Microsoft Edge Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Spell checking provided by Microsoft Editor must be disabled.,CM-7,V-283439,Ongoing,,,,,,,,,,Microsoft Edge Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows Server 2022 users with Administrative privileges must have separate accounts for administrative duties and normal operational tasks.,CM-6,V-254238,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 members of the Backup Operators group must have separate accounts for backup duties and normal operational tasks.,CM-6,V-254241,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 manually managed application account passwords must be changed at least annually or when a system administrator with knowledge of the password leaves the organization.,CM-6,V-254243,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 shared user accounts must not be permitted.,IA-2,V-254244,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,"Windows Server 2022 must employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs.",CM-7(5),V-254245,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must use an antivirus program.,CM-6,V-254248,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must have a host-based intrusion detection and prevention service installed.,CM-6,V-254249,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 outdated or unused accounts must be removed or disabled.,AC-2(3),V-254256,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 passwords must be configured to expire.,IA-5(1),V-254258,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 system files must be monitored for unauthorized changes.,CM-3(5),V-254259,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 nonsystem-created file shares must limit access to groups that require it.,SC-4,V-254260,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,"Windows Server 2022 must implement protection methods such as TLS, encrypted VPNs, or IPsec if the data owner has a strict requirement for ensuring data integrity and confidentiality is maintained at every step of the data transfer and handling process.",SC-8(2),V-254263,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must have the roles and features required by the system documented.,CM-7,V-254264,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must have a host-based firewall installed and enabled.,CM-6,V-254265,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must automatically remove or disable temporary user accounts after 72 hours.,AC-2(2),V-254267,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must automatically remove or disable emergency accounts after the crisis is resolved or within 72 hours.,AC-2(2),V-254268,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must not have the Telnet Client installed.,CM-7,V-254273,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must not have the TFTP Client installed.,CM-7,V-254274,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must have Secure Boot enabled.,CM-6,V-254284,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 audit records must be backed up to a different system or media than the system being audited.,AU-4(1),V-254294,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,"Windows Server 2022 must, at a minimum, offload audit records of interconnected systems in real time and offload standalone or nondomain-joined systems weekly.",AU-4(1),V-254295,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must have PowerShell Transcription enabled.,AU-3,V-254384,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 Deny access to this computer from the network user right on domain-joined member servers must be configured to prevent access from highly privileged domain accounts and local accounts and from unauthenticated access on all systems.,AC-3,V-254435,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 Deny log on locally user right on domain-joined member servers must be configured to prevent access from highly privileged domain accounts and from unauthenticated access on all systems.,AC-3,V-254438,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must have the DoD Root Certificate Authority (CA) certificates installed in the Trusted Root Store.,IA-5(2),V-254442,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must have the DoD Interoperability Root Certificate Authority (CA) cross-certificates installed in the Untrusted Certificates Store on unclassified systems.,IA-5(2),V-254443,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must have the US DOD CCEB Interoperability Root CA cross-certificates in the Untrusted Certificates Store on unclassified systems.,IA-5(2),V-254444,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 setting Microsoft network server: Digitally sign communications (always) must be configured to Enabled.,SC-8,V-254463,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 setting Microsoft network server: Digitally sign communications (if client agrees) must be configured to Enabled.,SC-8,V-254464,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,"Windows Server 2022 User Account Control (UAC) must, at a minimum, prompt administrators for consent on the secure desktop.",SC-3,V-254484,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 User Account Control (UAC) must automatically deny standard user requests for elevation.,IA-11,V-254485,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must be configured to audit file system failures.,AU-12,V-278942,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must be configured to audit file system successes.,AU-12,V-278943,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must be configured to audit handle manipulation failures.,AU-12,V-278944,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must be configured to audit handle manipulation successes.,AU-12,V-278945,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must be configured to audit registry failures.,AU-12,V-278946,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must be configured to audit registry successes.,AU-12,V-278947,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Defender Firewall with Advanced Security must be enabled when connected to a private network.,AC-4,V-241990,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows Defender Firewall with Advanced Security must be enabled when connected to a public network.,AC-4,V-241991,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,"Windows Defender Firewall with Advanced Security must allow outbound connections, unless a rule explicitly blocks the connection when connected to a private network.",SC-5(1),V-241998,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,"Windows Defender Firewall with Advanced Security must allow outbound connections, unless a rule explicitly blocks the connection when connected to a public network.",SC-5(1),V-242003,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows Defender Firewall with Advanced Security local firewall rules must not be merged with Group Policy settings when connected to a public network.,SC-24,V-242004,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows Defender Firewall with Advanced Security local connection rules must not be merged with Group Policy settings when connected to a public network.,SC-24,V-242005,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Inbound exceptions to the firewall on domain workstations must only allow authorized remote management hosts.,AC-17(1),V-242009,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,The Trust Providers Software Publishing State must be set to 0x23C00.,IA-5(2),V-225224,Ongoing,,,,,,,,,,Microsoft DotNet Framework 4.0 Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Encryption keys used for the .NET Strong Name Membership Condition must be protected.,IA-5(2),V-225226,Ongoing,,,,,,,,,,Microsoft DotNet Framework 4.0 Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Remoting Services HTTP channels must utilize authentication and encryption.,SC-23,V-225228,Ongoing,,,,,,,,,,Microsoft DotNet Framework 4.0 Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,.Net Framework versions installed on the system must be supported.,CM-6,V-225229,Ongoing,,,,,,,,,,Microsoft DotNet Framework 4.0 Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Trust must be established prior to enabling the loading of remote code in .Net 4.,SC-39,V-225233,Ongoing,,,,,,,,,,Microsoft DotNet Framework 4.0 Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
